,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Armed Forces size,Co2-Emissions,CPI,CPI Change (%),Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation
0,2.9444389791664403,17.4,14.683342710688608,12.666660207428574,150006.0,151.36,2.0,0.8,0.28,25.858995073949465,109.9,51.4,3.0492730404820207,0.6678293725756554,28.1,1.72,41.2,37.2,66.1,11.7,17.26581871905996,28.033886,1.659626,9.06773940337716
1,3.295836866004329,47.5,14.036011420450334,11.669937760751914,34693.0,261.73,17.1,46.3,0.97,25.273297617901143,113.5,9.3,3.9627161197436642,0.5364933705145686,33.4,0.21,77.5,9.2,49.1,6.89,16.86293478143214,-11.202692,17.873887,13.14303033694011
2,2.8903717578961645,54.3,14.838105719868883,11.561725152903833,201348.0,232.75,53.37500000000001,9.8,1.1,26.831765244241744,109.7,90.0,2.2823823856765264,1.4701758451005928,17.6,3.96,61.3,10.1,104.95500000000007,9.79,17.53733075899546,-38.416097,-63.616672,12.182297237179363
3,4.700480365792417,32.4,11.337047106123133,9.952325334619427,61448.0,118.06,1.5,46.9,1.2,26.82429023409275,103.1,85.1,1.3609765531356004,2.3111483236545336,17.9,5.17,60.7,25.4,51.4,4.67,15.463094952926333,47.516231,14.550072,8.543055850941965
4,7.7142311448490855,11.1,6.641182169740591,9.852246888342531,31694.0,117.59,2.1,0.8,0.43,24.375846103990675,99.4,50.5,1.9600947840472698,1.2137250957686143,25.1,0.93,73.4,4.2,13.8,0.71,14.198805037272455,26.0667,50.5577,0.0
5,4.6913478822291435,33.3,11.631801236706348,9.392745258631441,6476.0,110.71,-0.9,37.8,0.72,23.38984863362953,122.0,12.3,4.119037174812473,0.3293037471426003,40.5,0.08,70.9,10.8,48.9,2.23,15.54683861587621,9.30769,2.315834,10.935977844808969
6,3.044522437723423,13.6,10.555682521764643,8.699681400989514,1261.0,167.18,2.7,72.5,0.98,21.617995429864685,100.1,15.6,3.250374491927572,0.27763173659827955,19.8,0.42,66.7,16.0,35.3,2.34,12.668355924416995,27.514162,90.433601,9.0455836463617
7,3.258096538021482,33.9,15.957430414075002,13.500801182986649,462299.0,167.4,3.7,58.9,1.02,28.24065517931946,115.4,51.3,2.624668592163159,0.9282193027394289,28.3,2.15,63.9,14.2,65.1,12.08,19.02631628786823,-14.235004,-51.92528,14.996025669372562
8,4.174387269895637,46.3,11.61620381442373,10.34177474101152,41708.0,114.42,3.1,35.4,1.11,25.177613133211548,89.3,71.0,1.9315214116032138,0.9439058989071285,47.7,4.03,55.4,20.2,28.3,4.34,15.474886166377447,42.733883,25.48583,0.0
9,4.343805421853684,44.2,12.521616693076714,9.305741456739435,3418.0,106.58,-3.2,19.3,0.98,23.479840150067414,96.1,6.5,3.912023005428146,0.29266961396282004,36.1,0.08,66.4,15.0,41.3,6.26,15.622544443743449,12.238333,-1.561593,11.759089988559907
